year,lga,crop,rainfall_mm,temp_celsius,soil_ph,fertilizer_kg_ha,yield_kg_ha
2016,Kaiama,Rice,916.3,27.66,5.93,57.6,2925.7
2013,Asa,Sorghum,1471.9,29.12,5.67,53.2,2868.8
2022,Ilorin South,Sorghum,1306.2,28.42,6.1,41.4,2612.6
2020,Isin,Maize,1115.6,29.36,7.23,39.5,2325.3
2017,Ilorin South,Cassava,1294.9,28.64,5.38,39.1,12771.5
2022,Oyun,Sorghum,1345.9,26.19,5.23,31.2,2259.0
2014,Ilorin South,Sorghum,1293.3,30.29,7.08,69.2,3136.3
2016,Asa,Sorghum,964.5,27.61,6.07,40.2,2043.0
2019,Pategi,Rice,1049.2,25.7,5.8,63.3,3536.3
2012,Ekiti,Maize,1162.9,27.73,6.82,67.8,3553.5
2016,Asa,Rice,1188.8,31.2,5.84,60.0,2850.2
2020,Irepodun,Yam,1293.1,30.03,7.3,38.5,9366.8
2020,Ilorin East,Maize,1226.7,27.87,6.61,51.1,2896.4
2017,Ifelodun,Maize,999.7,27.87,5.91,44.6,2166.5
2014,Pategi,Maize,787.2,27.92,7.49,31.4,2495.1
2013,Ekiti,Maize,1291.6,32.24,5.84,49.9,2665.9
2017,Ilorin West,Yam,1284.0,29.19,6.65,27.3,9104.2
2017,Ifelodun,Sorghum,1362.1,29.27,6.38,62.8,3029.3
2012,Ilorin East,Rice,1325.1,30.35,6.98,38.0,3509.6
2015,Kaiama,Maize,850.2,28.93,7.14,48.0,2824.1
2014,Moro,Rice,1189.5,28.03,6.22,49.2,3122.8
2011,Irepodun,Rice,950.9,28.15,5.75,41.1,2731.6
2017,Irepodun,Maize,1264.4,28.37,6.48,53.8,3245.1
2021,Ilorin West,Rice,1231.2,28.43,5.79,37.9,3079.1
2023,Ekiti,Rice,1240.7,29.81,7.41,58.1,4016.1
2015,Oyun,Sorghum,1008.5,28.59,6.28,24.8,2089.3
2011,Oke-Ero,Sorghum,1037.8,29.82,5.98,46.9,2166.0
2021,Isin,Maize,1358.0,28.35,6.31,74.1,3650.8
2014,Ilorin South,Rice,1194.1,28.64,5.39,30.0,2582.9
2010,Ekiti,Sorghum,1302.2,24.9,5.62,34.8,2303.4
2021,Moro,Rice,1204.2,30.15,6.92,52.7,3399.3
2019,Pategi,Yam,814.1,29.12,5.81,47.7,8175.8
2015,Isin,Sorghum,1340.7,30.3,5.57,50.3,2172.8
2022,Pategi,Maize,1209.1,24.0,6.52,52.3,3335.9
2021,Irepodun,Maize,1214.4,32.26,6.91,54.5,2740.5
2018,Asa,Sorghum,1130.7,28.25,6.63,61.6,2752.5
2010,Moro,Maize,1134.8,30.49,6.8,51.1,2469.8
2020,Ilorin East,Sorghum,1153.6,26.63,5.75,41.4,2355.8
2020,Ilorin West,Cassava,1233.3,29.6,5.35,55.1,12717.1
2019,Ilorin East,Sorghum,1128.2,26.6,7.1,73.5,3144.9
2021,Pategi,Rice,985.8,27.38,6.01,43.0,3012.4
2021,Oke-Ero,Sorghum,1065.8,31.95,6.05,30.4,1926.4
